"number","n_gene","cat"
"GO:2001313",112,"GOs"
"GO:2001315",112,"GOs"
"GO:0016407",111,"GOs"
"GO:0019439",110,"GOs"
"GO:0044270",108,"GOs"
"GO:0046700",108,"GOs"
"GO:0008080",107,"GOs"
"GO:0016410",107,"GOs"
"GO:0034069",106,"GOs"
"GO:0047663",106,"GOs"
"GO:0006091",105,"GOs"
"GO:0016788",102,"GOs"
"GO:0034655",102,"GOs"
"GO:0016072",99,"GOs"
"GO:0006364",98,"GOs"
"GO:0008168",97,"GOs"
"GO:0008757",97,"GOs"
"GO:0032259",97,"GOs"
"GO:0000154",94,"GOs"
"GO:0001510",94,"GOs"
"GO:0008173",94,"GOs"
"GO:0043414",94,"GOs"
"GO:0008649",93,"GOs"
"GO:0031167",93,"GOs"
"GO:0140102",93,"GOs"
